variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
dehydrated garlic powder,garlic,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
spice oleoresin gingerol,ginger,solvent extraction,oleoresin,taste profile / spice,NULL,extract/oleoresin,flavouring agent,0.82,0.88,0.18,0.82,0.88,0.675,0.582,0.78,2,True,False
masala flavouring ginger,ginger,NULL,NULL,flavouring agent,NULL,NULL,taste profile / spice,0,0,0.675,0,0,0.675,0.27,0.27,1,False,False
high fructose corn syrup,corn,NULL,syrup,sweetener,NULL,concentrate|juice,NULL,0,0.4,0.625,0,0.5,0.625,0.37,0.4,2,False,False
anticaking agent ins 470,palm | soybean | sunflower,NULL,crystalline chemical,anticaking agent,NULL,emulsifier powder,emulsifier,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
anticaking agent ins 504,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
concentrated milk solids,milk,NULL,concentrate,base ingredient,NULL,powder,NULL,0,0.4,0.12,0,0.42,0.12,0.168,0.174,1,False,False
soya protein hydrolysate,soybean,?hydrolysis,protein concentrate,base ingredient,NULL,protein isolate,NULL,0.6,0.74,0.12,0.6,0.78,0.12,0.45,0.462,2,False,True
sugar substitute ins 960,stevia,NULL,powder,sweetener,NULL,NULL,NULL,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,False
high oleic sunflower oil,sunflower,NULL,oil,lipid base,cold pressing|solvent extraction|refining,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
anticaking agent ins 341,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
emulsifying salt ins 341,mineral,NULL,crystalline chemical,emulsifier,NULL,NULL,NULL,0,0.98,0.825,0,0.98,0.825,0.624,0.624,2,False,False
anticaking agent ins 503,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
raising agent ins 500 ii,mineral,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False
acidifying agent ins 330,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
orange juice concentrate,orange,NULL,concentrate,flavouring agent,NULL,juice,NULL,0,0.4,0.675,0,0.5,0.675,0.39,0.42,2,False,False
skimmed milk concentrate,milk,skim/defatted meal,concentrate,base ingredient,NULL,powder,NULL,0,0.4,0.12,0,0.42,0.12,0.168,0.174,1,False,False
whey protein concentrate,milk,NULL,protein concentrate,base ingredient,NULL,whey powder,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
acidifying agent ins 260,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acitifying agent ins 260,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
anticaking agent ins 551,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
anticaking agent ins 536,synthetic,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
anticaking agent ins 541,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
anticaking agent ins 553,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
concentrated apple juice,apple,NULL,concentrate,flavouring agent,NULL,juice,NULL,0,0.4,0.675,0,0.5,0.675,0.39,0.42,2,False,False
organic chamomile flower,chamomile,NULL,whole/fresh pieces,flavouring agent,NULL,cut/sliced pieces|powder,taste profile / spice,0,0.05,0.675,0,0.42,0.675,0.285,0.396,1,True,False
pasteurized skimmed milk,milk,pasteurization,skim/defatted meal,base ingredient,skim/defatted meal,NULL,NULL,0.48,0.55,0.12,0.48,0.55,0.12,0.357,0.357,2,False,False
dried bark of cinnamomum,cinnamon,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
fat-reduced cocoa powder,cocoa,NULL,powder,base ingredient,NULL,skim/defatted meal,NULL,0,0.42,0.12,0,0.55,0.12,0.174,0.213,1,False,False
vegetable oil cottonseed,cottonseed,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
flavour enhancer ins 627,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavour enhancer ins 631,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavouring agent ins 631,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavour enhancer ins 635,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
binding agent gum acacia,acacia,NULL,gum,binding agent|thickener|stabiliser,NULL,NULL,emulsifier,0,0,0.65,0,0,0.825,0.26,0.33,1,True,False
anticaking agent ins 414,acacia,NULL,gum,anticaking agent,NULL,NULL,thickener|stabiliser|emulsifier,0,0,0.85,0,0,0.85,0.34,0.34,2,False,False
flavour enhancer ins 620,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavour enhancer ins 621,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavour enhancer ins 629,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavour enhancer ins 630,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavour enhancer ins 637,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavour enhancer ins 508,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flour treatment ins 1100,aspergillus oryzae,NULL,NULL,flour treatment agent,NULL,powder,NULL,0,0,0.93,0,0.42,0.93,0.372,0.498,2,False,False
thickening agent ins 412,guar,NULL,gum,thickener,NULL,powder,stabiliser|emulsifier,0,0,0.615,0,0.42,0.825,0.246,0.456,1,True,False
concentrated jamun juice,jamun,NULL,juice|concentrate,flavouring agent,NULL,NULL,sweetener,0,0.5,0.675,0,0.5,0.675,0.42,0.42,2,False,False
emulsifier soya lecithin,soybean,solvent extraction,extract/oleoresin,emulsifier,NULL,NULL,NULL,0.82,0.86,0.825,0.82,0.86,0.825,0.834,0.834,3,False,False
emulsifier soya lecothin,soybean,solvent extraction,extract/oleoresin,emulsifier,NULL,NULL,NULL,0.82,0.86,0.825,0.82,0.86,0.825,0.834,0.834,3,False,False
concentrated lemon juice,lemon,NULL,juice|concentrate,flavouring agent,NULL,NULL,acidity regulator,0,0.5,0.675,0,0.5,0.86,0.42,0.494,2,False,False
milk protein concentrate,milk,NULL,protein concentrate,base ingredient,NULL,NULL,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
dehydrated potato flakes,potato,drying,flakes,base ingredient,NULL,NULL,NULL,0.42,0.36,0.12,0.42,0.36,0.12,0.282,0.282,1,False,False
pyridoxine hydrochloride,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
sugar substitute ins 420,corn | tapioca,NULL,crystalline chemical,sweetener|bulking agent,NULL,NULL,humectant,0,0.98,0.625,0,0.98,0.625,0.544,0.544,2,False,False
ethylvanillin flavouring,synthetic,synthetic vanillin,crystalline chemical,flavouring agent,NULL,NULL,taste profile / spice,0.98,0.98,0.675,0.98,0.98,0.675,0.858,0.858,3,False,False
toasted watermelon seeds,watermelon,roasting,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0.58,0.05,0.12,0.58,0.05,0.12,0.237,0.237,1,False,False
cherry juice concentrate,cherry,NULL,juice|concentrate,flavouring agent,NULL,NULL,sweetener,0,0.5,0.675,0,0.5,0.675,0.42,0.42,2,False,False
emulsifying salt ins 341,mineral,NULL,crystalline chemical,emulsifier,NULL,NULL,NULL,0,0.98,0.825,0,0.98,0.825,0.624,0.624,2,False,False
foam stabilizer ins 1505,quillaia saponaria,NULL,extract/oleoresin,stabiliser,NULL,NULL,foaming agent,0,0.86,0.65,0,0.86,0.725,0.518,0.548,2,False,False
packaging gases nitrogen,synthetic,NULL,crystalline chemical,packaging gas,NULL,NULL,propellant,0,0.98,0.95,0,0.98,0.95,0.674,0.674,2,False,False
batter thickener ins 1412,tapioca,NULL,modified starch powder,thickener,NULL,starch flour,NULL,0,0.96,0.615,0,0.96,0.615,0.534,0.534,2,False,False
concentrated fruit juices,apple | orange | mango,concentrate,juice,base ingredient,NULL,concentrate,flavouring agent,0,0.5,0.12,0,0.5,0.675,0.198,0.42,1,True,False
chopped roasted hazelnuts,hazelnut,roasting,cut/sliced pieces,base ingredient,cut/sliced pieces,whole/fresh pieces,NULL,0.58,0.1,0.12,0.58,0.1,0.12,0.252,0.252,1,False,False
anticaking agent ins 4700,synthetic,NULL,crystalline chemical,anticaking agent,NULL,emulsifier powder,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
sodium selenite angydrate,mineral,NULL,crystalline chemical,preservative,NULL,NULL,NULL,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False
zinc sulphate monohydrate,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
acidity regulator ins 261,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,preservative,0,0.98,0.86,0,0.98,0.885,0.638,0.648,2,False,False
acidity regulator ins 262,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,preservative,0,0.98,0.86,0,0.98,0.885,0.638,0.648,2,False,False
acidity regulator ins 290,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,preservative,0,0.98,0.86,0,0.98,0.885,0.638,0.648,2,False,False
acidity regulator ins 394,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0,0.98,0.86,0,0.98,0.885,0.638,0.648,2,False,False
acidity regulator ins 524,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 525,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 575,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins e30,synthetic | corn,NULL,crystalline chemical,acidity regulator,fermentation,NULL,antioxidant|preservative,0,0.98,0.86,0.56,0.98,0.885,0.638,0.816,2,True,False
acidity regulator ins 338,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 341,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 451,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,stabiliser,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 339,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,stabiliser,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 340,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,stabiliser,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 503,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,raising agent,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 504,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,raising agent,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 501,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,raising agent,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
sodium hydrogen carbonate,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,raising agent,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 500,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 330,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
concentrated orange juice,orange,concentration,concentrate,flavouring agent,NULL,juice,sweetener|acidity regulator,0.48,0.4,0.675,0.48,0.5,0.86,0.534,0.638,2,False,False
acidity regulator ins 260,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,preservative,0,0.98,0.86,0,0.98,0.885,0.638,0.648,2,False,False
anticaking agent ins e551,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
roasted and ground coffee,coffee,roasting,coarse grits,taste profile / spice,milling,powder,flavouring agent,0.58,0.3,0.18,0.58,0.42,0.675,0.336,0.57,2,False,False
roasted bengal gram flour,bengal gram,roasting|milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.58,0.33,0.12,0.58,0.33,0.12,0.321,0.321,2,False,False
desiccated coconut powder,coconut,drying,powder,base ingredient,NULL,NULL,NULL,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False
dehydrated coconut shreds,coconut,drying,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0.42,0.1,0.12,0.42,0.1,0.12,0.204,0.204,1,False,False
coconut water concentrate,coconut,concentration,concentrate,base ingredient,NULL,juice,NULL,0.48,0.4,0.12,0.48,0.5,0.12,0.312,0.342,2,False,False
flavour enhancer ins 6351,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,taste profile / spice,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
stabilising agent ins 414,acacia tree,NULL,gum,stabiliser|thickener|gelling agent,NULL,powder,emulsifier,0,0,0.675,0,0.42,0.825,0.27,0.456,1,True,False
flavour enhancer ins 1101,synthetic,?hydrolysis,powder,flavouring agent,NULL,NULL,NULL,0.6,0.42,0.675,0.6,0.42,0.675,0.576,0.576,2,False,True
ammonium chloride ins 510,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
garcinia cambogia extract,garcinia cambogia,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,NULL,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False
stabilising agent ins 445,pine resin,NULL,NULL,stabiliser|emulsifier,NULL,NULL,thickener|gelling agent,0,0,0.825,0,0,0.825,0.33,0.33,2,False,False
cardamom seeds flavouring,cardamom,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
emulsifying agent ins 412,guar bean,NULL,powder,emulsifier,NULL,NULL,stabiliser|thickener|gelling agent,0,0.42,0.825,0,0.42,0.825,0.456,0.456,2,False,False
stabilizing agent ins 412,guar bean,NULL,powder,stabiliser|thickener|gelling agent,NULL,NULL,emulsifier,0,0.42,0.675,0,0.42,0.825,0.396,0.456,2,False,False
hydrolysed ground protein,groundnut,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,NULL,0.6,0.74,0.12,0.6,0.74,0.12,0.45,0.45,2,False,True
acidity regulator ins 270,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
lactobacillus acidophilus,synthetic,fermentation,powder,preservative,NULL,NULL,NULL,0.56,0.42,0.885,0.56,0.42,0.885,0.648,0.648,2,False,False
emulsifier soya lecithins,soybean,solvent extraction,extract/oleoresin,emulsifier,NULL,NULL,NULL,0.82,0.86,0.825,0.82,0.86,0.825,0.834,0.834,3,False,False
emulsifier – lecithin soy,soybean,solvent extraction,extract/oleoresin,emulsifier,NULL,NULL,NULL,0.82,0.86,0.825,0.82,0.86,0.825,0.834,0.834,3,False,False
mosambi juice concentrate,mosambi,concentration,concentrate,flavouring agent,NULL,juice,acidity regulator,0.48,0.4,0.675,0.48,0.5,0.86,0.534,0.638,2,False,False
acidity regulator ins 196,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 296,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
stabilising agent ins 471,palm | soybean | sunflower,NULL,NULL,stabiliser|emulsifier,NULL,NULL,NULL,0,0,0.825,0,0,0.825,0.33,0.33,2,False,False
stabilizing agent ins 471,palm | soybean | sunflower,NULL,NULL,stabiliser|emulsifier,NULL,NULL,NULL,0,0,0.825,0,0,0.825,0.33,0.33,2,False,False
parsley powder flavouring,parsley,NULL,powder,flavouring agent,drying,NULL,taste profile / spice,0,0.42,0.675,0.42,0.42,0.675,0.396,0.522,2,False,False
stabilizing agent ins 440,apple | citrus,NULL,NULL,stabiliser|gelling agent,NULL,gelling agent,thickener,0,0,0.675,0,0,0.675,0.27,0.27,1,False,False
stabilizing agent ins 401,seaweed,NULL,NULL,stabiliser|gelling agent,NULL,gelling agent,thickener,0,0,0.675,0,0,0.675,0.27,0.27,1,False,False
acidity regulator ins 331,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,NULL,0.56,0.98,0.86,0.56,0.98,0.86,0.806,0.806,3,False,False
stabilising agent ins 331,synthetic | corn,fermentation,crystalline chemical,stabiliser,NULL,NULL,acidity regulator,0.56,0.98,0.65,0.56,0.98,0.86,0.722,0.806,3,False,False
acidity regulator ins 325,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,NULL,0.56,0.98,0.86,0.56,0.98,0.86,0.806,0.806,3,False,False
acidity regulator ins 334,tartaric acid,NULL,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|sequestrant,0,0.98,0.86,0,0.98,0.91,0.638,0.658,2,False,False
ethyl vanillin flavouring,synthetic,synthetic vanillin,crystalline chemical,flavouring agent,NULL,NULL,taste profile / spice,0.98,0.98,0.675,0.98,0.98,0.675,0.858,0.858,3,False,False
vitamin d2 ergocalciferol,yeast,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
enzyme beta galactosidase,aspergillus niger | kluyveromyces lactis,NULL,NULL,base ingredient,NULL,powder,NULL,0,0,0.12,0,0.42,0.12,0.048,0.174,1,False,False
enzyme beta-galactosidase,aspergillus niger | kluyveromyces lactis,NULL,NULL,base ingredient,NULL,powder,NULL,0,0,0.12,0,0.42,0.12,0.048,0.174,1,False,False
edible vegetable bran oil,rice,solvent extraction,oil,lipid base,refining,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
fava bean protein isolate,fava bean,NULL,protein isolate,base ingredient,NULL,NULL,NULL,0,0.78,0.12,0,0.78,0.12,0.282,0.282,1,False,False
lutein-zeaxanthin complex,marigold,solvent extraction,extract/oleoresin,colour,NULL,NULL,antioxidant,0.82,0.86,0.8,0.82,0.86,0.875,0.824,0.854,3,False,False
hydrogenated vegetable fat,palm | soybean | groundnut,hydrogenation,fat fraction,lipid base,NULL,NULL,NULL,0.92,0.72,0.22,0.92,0.72,0.22,0.58,0.58,2,False,False
hydrogenated vegetable oil,palm | soybean | groundnut,hydrogenation,oil,lipid base,NULL,NULL,NULL,0.92,0.7,0.22,0.92,0.7,0.22,0.574,0.574,2,False,False
fractionated vegetable fat,palm | soybean | groundnut,fractionation,fat fraction,lipid base,NULL,NULL,NULL,0.76,0.72,0.22,0.76,0.72,0.22,0.532,0.532,2,False,False
partially hydrogenated oil,palm | soybean | groundnut,hydrogenation,oil,lipid base,NULL,NULL,NULL,0.92,0.7,0.22,0.92,0.7,0.22,0.574,0.574,2,False,False
magnesium stearate ins 470,palm | soybean | sunflower,NULL,crystalline chemical,anticaking agent|emulsifier,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
magnesium sulphate ins 518,mineral,NULL,crystalline chemical,firming agent,NULL,NULL,NULL,0,0.98,0.45,0,0.98,0.45,0.474,0.474,2,False,False
fortified wheat flour iron,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
centre filling milk solids,milk,NULL,dense block,base ingredient,NULL,concentrate|powder,sweetener|flavouring agent,0,0.38,0.12,0,0.42,0.675,0.162,0.396,1,True,False
preserved strawberry fruit,strawberry,NULL,whole/fresh pieces,base ingredient,preservation,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
refined sunflower seed oil,sunflower,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False
roasted almonds flavouring,almond,roasting,NULL,flavouring agent,NULL,NULL,taste profile / spice,0.58,0,0.675,0.58,0,0.675,0.444,0.444,2,False,False
tribasic calcium phosphate,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
cake raising agent ins 341,mineral,raising agent,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False
acidity regulator ins e330,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
reconstituted skimmed milk,milk,NULL,NULL,base ingredient,NULL,powder|juice,NULL,0,0,0.12,0,0.5,0.12,0.048,0.198,1,False,False
acidity regulator ins e260,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,preservative,0,0.98,0.86,0,0.98,0.885,0.638,0.648,2,False,False
streptococcus thermophilus,milk,fermentation,NULL,NULL,NULL,NULL,NULL,0.56,0,0,0.56,0,0,0.168,0.168,1,False,False
lacto-bacillus acidophilus,milk,fermentation,NULL,NULL,NULL,NULL,NULL,0.56,0,0,0.56,0,0,0.168,0.168,1,False,False
antifoaming agent ins 900a,synthetic,antifoaming agent,NULL,antifoaming agent,NULL,crystalline chemical,NULL,0,0,0.9,0,0.98,0.9,0.36,0.654,2,False,False
brown rice protein isolate,rice,NULL,protein isolate,base ingredient,NULL,NULL,NULL,0,0.78,0.12,0,0.78,0.12,0.282,0.282,1,False,False
kashmiri red chilli powder,chilli,drying,powder,taste profile / spice,NULL,NULL,flavouring agent|colour,0.42,0.42,0.18,0.42,0.42,0.8,0.324,0.572,2,False,False
mathania red chilli powder,chilli,drying,powder,taste profile / spice,NULL,NULL,flavouring agent|colour,0.42,0.42,0.18,0.42,0.42,0.8,0.324,0.572,2,False,False
husked dew moth bean flour,dew moth bean,de-husking|milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
acidity regulator ins e331,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,NULL,0.56,0.98,0.86,0.56,0.98,0.86,0.806,0.806,3,False,False
panax ginseng root extract,panax ginseng,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,NULL,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False
medium chain triglycerides,coconut | palm kernel,fractionation,oil,lipid base,NULL,NULL,NULL,0.76,0.7,0.22,0.76,0.7,0.22,0.526,0.526,2,False,False
medium chain-triglycerides,coconut | palm kernel,fractionation,oil,lipid base,NULL,NULL,NULL,0.76,0.7,0.22,0.76,0.7,0.22,0.526,0.526,2,False,False
phyllanthus niruri extract,phyllanthus niruri,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,NULL,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False
hydrogenated vegetable fats,palm | soybean | groundnut,hydrogenation,fat fraction,lipid base,cold pressing|refining|solvent extraction,oil,NULL,0.92,0.72,0.22,0.92,0.72,0.22,0.58,0.58,2,False,False
fractionated vegetable fats,palm | soybean | groundnut,fractionation,fat fraction,lipid base,cold pressing|refining|solvent extraction,oil,NULL,0.76,0.72,0.22,0.82,0.72,0.22,0.532,0.55,2,False,False
paprika oleoresin ins 160ci,paprika,NULL,oleoresin,colour,solvent extraction,extract/oleoresin,taste profile / spice,0,0.88,0.8,0.82,0.88,0.8,0.584,0.83,2,True,False
acetylated distarch adipate,corn | tapioca | potato,acetylation,modified starch powder,thickener,NULL,starch flour,NULL,0.94,0.96,0.615,0.94,0.96,0.615,0.816,0.816,3,False,False
roasted spice powder ginger,ginger,roasting,powder,taste profile / spice,drying,NULL,flavouring agent,0.58,0.42,0.18,0.58,0.42,0.675,0.372,0.57,2,False,False
magnesium phosphate dibasic,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
vitamin a retinyl palmitate,palm,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,False,False
tri basic calcium phosphate,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
acidity regulator ins 501 i,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
acidity regulator ins 500 i,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
dehydrated fenugreek leaves,fenugreek,drying,flakes,taste profile / spice,NULL,powder,flavouring agent,0.42,0.36,0.18,0.42,0.42,0.675,0.306,0.522,2,False,False
dehydrated coriander leaves,coriander,drying,flakes,taste profile / spice,NULL,powder,flavouring agent,0.42,0.36,0.18,0.42,0.42,0.675,0.306,0.522,2,False,False
l.bacillus delbruecki subsp,milk,fermentation,NULL,preservative,NULL,NULL,NULL,0.56,0,0.885,0.56,0,0.885,0.522,0.522,2,False,False
limosilactobacillus reuteri,milk,fermentation,NULL,preservative,NULL,NULL,NULL,0.56,0,0.885,0.56,0,0.885,0.522,0.522,2,False,False
